Date,Open,High,Low,Close,Adj Close,Volume
2000-08-02,47.043636,48.158176,46.993732,48.083321,15.996116,2328406
2000-08-03,48.233036,48.366116,47.076904,47.492779,15.799656,2229752
2000-08-04,47.908653,48.058369,46.844017,47.592590,15.832864,2921775
2000-08-07,48.233036,48.831894,48.008465,48.532463,16.145533,2614448
2000-08-08,48.831894,49.522243,48.457607,48.948338,16.283884,2762982
2000-08-09,49.214497,51.318817,49.197861,50.902946,16.934134,5616915
2000-08-10,50.902946,53.065487,50.711643,51.892723,17.263409,5795297
2000-08-11,51.734692,52.483265,51.243961,51.859455,17.252340,2547659
2000-08-14,51.576660,52.483265,51.277229,51.651516,17.183165,1919385
2000-08-15,52.150566,52.150566,50.761547,51.152470,17.017145,1575751
2000-08-16,51.152470,51.401993,50.703323,50.994438,16.964575,1539462
2000-08-17,51.252277,51.252277,50.262501,50.778183,16.892632,1101627
2000-08-18,50.902946,50.902946,49.663643,49.913166,16.604862,2270686
2000-08-21,49.796719,49.946434,49.081417,49.946434,16.615929,1646088
2000-08-22,50.029610,51.069294,49.971386,50.528660,16.809620,1999408
2000-08-23,50.320721,51.044342,49.963070,50.819771,16.906464,1974768
2000-08-24,50.869675,50.869675,50.029610,50.112785,16.671270,1650592
2000-08-25,50.487072,50.886311,50.229229,50.437164,16.779181,1217089
2000-08-28,50.570248,50.986118,50.445484,50.736595,16.878796,1443623
2000-08-29,50.736595,50.736595,49.281036,49.738499,16.546749,1838916
2000-08-30,49.738499,49.755135,48.490875,48.906750,16.270050,2186678
2000-08-31,48.831894,48.973289,48.158176,48.158176,16.021015,2248807
2000-09-01,48.282940,48.640591,47.709034,48.183128,16.029320,2219749
2000-09-04,48.324528,49.023193,48.083321,48.615639,16.173204,1430101
2000-09-05,48.615639,48.840210,48.465923,48.465923,16.123402,1712602
2000-09-06,48.815258,49.355892,48.424335,48.740402,16.214712,1635198
2000-09-07,48.449291,48.906750,47.592590,48.108273,16.004417,2378159
2000-09-08,48.407703,48.740402,47.825478,48.166496,16.023787,1810767
2000-09-11,48.257988,48.657227,48.208084,48.424335,16.109566,1754854
2000-09-12,48.224716,48.474243,46.619446,47.135128,15.680676,3681819
2000-09-13,47.135128,47.135128,47.135128,47.135128,15.680676,0
2000-09-14,46.744205,46.844017,45.954048,46.594494,15.500823,2288260
2000-09-15,46.561222,46.744205,45.737793,45.737793,15.215820,9436918
2000-09-18,45.596397,45.845921,44.972584,45.288651,15.066399,3069236
2000-09-19,44.914364,45.321918,43.675060,44.914364,14.941881,3990518
2000-09-20,44.914364,44.964268,43.666740,43.949535,14.620908,2950972
2000-09-21,44.090935,44.332142,42.834995,43.234234,14.382945,3629932
2000-09-22,42.502296,44.282234,42.269405,44.049343,14.654114,3578178
2000-09-25,44.157475,44.456902,42.277721,42.710232,14.208623,3420631
2000-09-26,42.252769,43.375629,41.811947,42.793407,14.236296,3302633
2000-09-27,42.535564,45.163887,41.778675,43.924583,14.612609,9087700
2000-09-28,43.849728,43.874680,41.545788,41.595692,13.837845,7085174
2000-09-29,41.886803,42.419121,41.604008,42.286041,14.067509,3500597
2000-10-02,41.978294,48.781990,41.886803,42.335945,14.084109,2925734
2000-10-03,42.335945,42.335945,42.335945,42.335945,14.084109,0
2000-10-04,41.795311,43.167694,41.254673,41.762039,13.893187,4655280
2000-10-05,41.853531,42.668644,41.512516,42.177914,14.031534,2472977
2000-10-06,42.003246,43.117786,41.961658,42.676964,14.197556,4551876
